Category,Background Characteristic,Percentage Ever Experienced Physical Violence,Distribution %,Number
Age Group,18-19,16.4,3.9,3542
Age Group,20-24,22.8,13.4,11017
Age Group,25-29,28.1,16.4,13855
Age Group,30-39,31.9,36.4,25859
Age Group,40-49,32.1,29.9,17908
Education Level,No education,39.3,34.6,19213
Education Level,Incomplete Primary,34,14.8,9642
Education Level,Incomplete Secondary,26.5,41.2,31828
Education Level,Completed Secondary,20.1,1.7,1464
Education Level,Higher & above,14.7,7.9,10167
Marital Status,Never Married,12.8,6.1,8469
Marital Status,Currently Married,30.3,85.8,60474
Marital Status,Widowed/Divorced/Separated/Others,44.4,8.1,3371
Caste,Schedule Castes,33.8,24.5,13623
Caste,Schedule Tribes,30.9,9.6,14155
Caste,Other Backward Classes,30,43.6,27559
Caste,None of them,22,16.1,13071
Caste,Don't know/Missing,23.1,6.2,3906
Religion,Hindu,29.7,81,54221
Religion,Muslim,26,14.8,8821
Religion,Christian,22.6,2.2,5570
Religion,Other religions,22,1.9,3702
Working Status,Not employed,25.2,57.6,46606
Working Status,Employed for cash,35.7,36.4,20776
Working Status,Employed not for cash,33.1,5.9,4932
Wealth Index,Lowest,37.6,24.2,15570
Wealth Index,Second,35,25.3,16223
Wealth Index,Middle,29.6,22,15082
Wealth Index,Fourth,24.1,17.8,13639
Wealth Index,Highest,16.9,10.8,11800
Husband and Wife Age Gap,Wife older or same age,24.2,4.1,4638
Husband and Wife Age Gap,Wife 1-4 years younger,30.2,34.4,27853
Husband and Wife Age Gap,Wife 5-9 years younger,31.2,34.6,20686
Husband and Wife Age Gap,Wife 10+ years younger,30.8,12.7,7297
Husband and Wife Age Gap,Don't know & Missing,21.6,14.2,11840
Husband Education Level,No education,41.3,23.9,11642
Husband Education Level,Primary level,37,16.8,9269
Husband Education Level,Secondary level,28.8,44.4,33924
Husband Education Level,Higher & above,19.6,8.4,8828
Husband Education Level,Don't know/Missing,13.4,6.5,8651
Husband and Wife Education Gap,Husband better educated,29.9,37.8,28451
Husband and Wife Education Gap,Wife better educated,29.2,21.9,14628
Husband and Wife Education Gap,Equally educated,24.2,10.6,9446
Husband and Wife Education Gap,Neither educated,41.1,15.3,7758
Husband and Wife Education Gap,Don't know/Missing,21.6,14.4,12031
Husband's Drinking Habits,Never drink,24.4,55.9,46015
Husband's Drinking Habits,Rarely drunk,34.9,1.6,1403
Husband's Drinking Habits,Sometimes drunk,49.2,26.1,13115
Husband's Drinking Habits,Often drunk,72.1,10.4,3312
Husband's Drinking Habits,Don't know/Missing,12.8,6.1,8469
Place of Residence,Urban,23.7,26.8,18124
Place of Residence,Rural,31,73.2,54190
Geographical Region,North,17.7,4.9,14151
Geographical Region,Central,30,11.9,15637
Geographical Region,East,32.2,32.5,12092
Geographical Region,North-east,29.8,5.8,11245
Geographical Region,West,20.8,15.8,7277
Geographical Region,South,34.2,29.3,11912
Total,Total,28.7,100,72314
